time	V(vout)
0.000000000000000e+00	2.011625e-01
2.769258766181947e-06	3.047954e-01
5.538517532363895e-06	4.012587e-01
8.307776298545842e-06	4.905522e-01
1.107703506472779e-05	5.726761e-01
1.384629383090974e-05	6.476304e-01
1.661555259709168e-05	7.154149e-01
1.938481136327362e-05	7.760298e-01
2.744744053153841e-05	9.261271e-01
3.721306553153841e-05	1.083632e+00
4.697869053153841e-05	1.265683e+00
5.397632921540298e-05	1.436138e+00
5.873704043124487e-05	1.576380e+00
6.167813906979103e-05	1.673003e+00
6.640762440333286e-05	1.843140e+00
7.373915550954896e-05	2.135298e+00
8.350478050954895e-05	2.547113e+00
9.327040550954895e-05	2.933102e+00
1.013670383459290e-04	3.197548e+00
1.090538956602863e-04	3.385934e+00
1.130838212257521e-04	3.459716e+00
1.194406247866543e-04	3.545465e+00
1.385057081574654e-04	3.691938e+00
1.479556382160888e-04	3.791399e+00
1.568798532923725e-04	3.943945e+00
1.661894498427464e-04	4.166430e+00
1.845384846250083e-04	4.681174e+00
1.943041096250083e-04	4.899042e+00
2.028556510073129e-04	5.011882e+00
2.080928079161578e-04	5.039994e+00
2.132814132190540e-04	5.038854e+00
2.212149084318611e-04	4.992320e+00
2.407461584318611e-04	4.806219e+00
2.510264113855912e-04	4.770010e+00
2.602644388825889e-04	4.803674e+00
2.772013235004786e-04	4.962586e+00
2.869669485004786e-04	5.028574e+00
2.952795678225498e-04	5.022078e+00
3.029584869257279e-04	4.948545e+00
3.129437215132187e-04	4.757552e+00
3.317527397520315e-04	4.235804e+00
3.415183647520315e-04	3.983627e+00
3.509005339801347e-04	3.803534e+00
3.599746793937958e-04	3.692685e+00
3.781552712868623e-04	3.555357e+00
3.879208962868623e-04	3.435167e+00
3.943177983454341e-04	3.309790e+00
4.020172879193329e-04	3.101150e+00
4.070602402167720e-04	2.931858e+00
4.148063146644584e-04	2.632486e+00
4.245719396644584e-04	2.221186e+00
4.343375646644584e-04	1.824763e+00
4.418345646904598e-04	1.560897e+00
4.467819745110724e-04	1.412968e+00
4.495336746087480e-04	1.340109e+00
4.539693318727780e-04	1.236059e+00
4.608993281933176e-04	1.101115e+00
4.706649531933177e-04	9.413205e-01
4.804305781933177e-04	7.684415e-01
4.890521766511472e-04	5.651981e-01
4.931184664525377e-04	4.461130e-01
4.946623349443209e-04	3.967068e-01
4.969999131279210e-04	3.175332e-01
5.007845340077914e-04	1.786023e-01
5.067852081207729e-04	-6.574909e-02
5.156961930045253e-04	-4.650845e-01
5.254618180045253e-04	-9.094501e-01
5.352274430045253e-04	-1.307184e+00
5.406908713826298e-04	-1.493866e+00
5.449555068279029e-04	-1.618838e+00
5.483797997544535e-04	-1.706067e+00
5.538456444058238e-04	-1.823122e+00
5.621261681729103e-04	-1.960678e+00
5.718917931729103e-04	-2.097946e+00
5.816574181729103e-04	-2.259672e+00
5.882893342591721e-04	-2.405637e+00
5.959902935015369e-04	-2.621273e+00
6.009151462901142e-04	-2.783883e+00
6.182724171470684e-04	-3.436875e+00
6.280380421470684e-04	-3.777956e+00
6.357654532201611e-04	-3.991732e+00
6.434612742223614e-04	-4.140966e+00
6.477487557584686e-04	-4.196327e+00
6.544718288249015e-04	-4.248678e+00
6.739075649697826e-04	-4.291970e+00
6.828175941697996e-04	-4.341295e+00
6.910764209808781e-04	-4.437591e+00
7.007136483897286e-04	-4.612017e+00
7.192901644946957e-04	-5.015640e+00
7.290557894946957e-04	-5.164084e+00
7.369634495869833e-04	-5.212767e+00
7.424080811715511e-04	-5.204673e+00
7.477899284162639e-04	-5.165509e+00
7.559666938922918e-04	-5.059403e+00
7.754979438922918e-04	-4.744074e+00
7.851487438013298e-04	-4.648753e+00
7.948403902660155e-04	-4.622287e+00
8.120753640349095e-04	-4.672995e+00
8.218409890349095e-04	-4.671165e+00
8.297449100063060e-04	-4.610104e+00
8.374370837543107e-04	-4.485082e+00
8.416047643458189e-04	-4.390161e+00
8.481584829900772e-04	-4.207527e+00
8.674266403209916e-04	-3.559952e+00
8.765938631966148e-04	-3.281951e+00
8.851543244732179e-04	-3.078954e+00
8.888197532397262e-04	-3.010205e+00
8.946449900660255e-04	-2.920468e+00
9.131207553654385e-04	-2.699732e+00
9.228863803654385e-04	-2.533960e+00
9.287408969239577e-04	-2.393664e+00
9.331228859366680e-04	-2.265481e+00
9.364349813698131e-04	-2.155527e+00
9.417316814132103e-04	-1.958305e+00
9.498020294278283e-04	-1.618759e+00
9.595676544278283e-04	-1.181428e+00
9.693332794278283e-04	-7.684077e-01
9.763182752345764e-04	-5.139558e-01
9.792618671628605e-04	-4.198205e-01
9.810744505935941e-04	-3.658857e-01
9.840200899537772e-04	-2.847054e-01
9.887565862472228e-04	-1.699926e-01
9.960975493630967e-04	-2.367694e-02
1.005863174363097e-03	1.412917e-01
1.015628799363097e-03	3.221257e-01
1.023712450552203e-03	5.181577e-01
1.027365006620521e-03	6.254751e-01
1.028900863526955e-03	6.742956e-01
1.031399714652039e-03	7.583544e-01
1.035439163856801e-03	9.058155e-01
1.041809654192065e-03	1.163341e+00
1.060889130398370e-03	1.997753e+00
1.070319997215936e-03	2.353768e+00
1.076998597161817e-03	2.555004e+00
1.082816167570113e-03	2.692494e+00
1.088541046219156e-03	2.796269e+00
1.097133621991864e-03	2.908812e+00
1.106899246991864e-03	3.012871e+00
1.116664871991864e-03	3.143305e+00
1.125190895858687e-03	3.310133e+00
1.130436455755698e-03	3.441967e+00
1.135632919543936e-03	3.592556e+00
1.153342054112310e-03	4.175418e+00
1.163107679112310e-03	4.458753e+00
1.170297577686819e-03	4.612851e+00
1.177998960745254e-03	4.714455e+00
1.182619354912624e-03	4.744271e+00
1.189803213435242e-03	4.751770e+00
1.209334463435242e-03	4.674438e+00
1.221439826569710e-03	4.689712e+00
1.229188948194148e-03	4.755828e+00
1.244391644892184e-03	4.977667e+00
1.254157269892184e-03	5.118178e+00
1.263899143114864e-03	5.193496e+00
1.273243529971745e-03	5.171590e+00
1.282337440592053e-03	5.057186e+00
1.290766703737186e-03	4.887971e+00
1.310297953737186e-03	4.447081e+00
1.319273570880256e-03	4.304093e+00
1.329424137604235e-03	4.215339e+00
1.346952000005083e-03	4.162081e+00
1.356717625005083e-03	4.097993e+00
1.364190017126378e-03	3.993422e+00
1.371889391560306e-03	3.822740e+00
1.376340365465413e-03	3.695251e+00
1.383291586136315e-03	3.460774e+00
1.402822836136315e-03	2.710843e+00
1.411418022170531e-03	2.419739e+00
1.416997675633172e-03	2.261945e+00
1.423128355205982e-03	2.119032e+00
1.429136647698954e-03	2.006301e+00
1.447821841535968e-03	1.723357e+00
1.457587466535968e-03	1.526394e+00
1.463033760350178e-03	1.380335e+00
1.467293372305920e-03	1.245494e+00
1.470722444679425e-03	1.123996e+00
1.476195468311159e-03	9.084475e-01
1.484484802816561e-03	5.443580e-01
1.494250427816561e-03	9.561951e-02
1.504016052816561e-03	-3.209746e-01
1.510632789653817e-03	-5.617841e-01
1.513368711334278e-03	-6.492652e-01
1.515260561088699e-03	-7.054787e-01
1.518333673514790e-03	-7.894468e-01
1.523266320141394e-03	-9.063880e-01
1.530868223786068e-03	-1.051853e+00
1.540633848786068e-03	-1.208370e+00
1.550399473786068e-03	-1.381132e+00
1.558111842050560e-03	-1.559976e+00
1.563144751114929e-03	-1.703899e+00
1.565807925780838e-03	-1.789076e+00
1.570105355092860e-03	-1.938889e+00
1.576842409143863e-03	-2.199258e+00
1.586526053451859e-03	-2.601753e+00
1.596291678451859e-03	-2.991880e+00
1.605179914742313e-03	-3.288958e+00
1.611111543069515e-03	-3.443073e+00
1.617143691813044e-03	-3.561030e+00
1.623063268574463e-03	-3.642176e+00
1.631882161645604e-03	-3.716999e+00
1.641647786645604e-03	-3.776564e+00
1.651413411645604e-03	-3.863533e+00
1.661376954699758e-03	-4.019186e+00
1.670138484244273e-03	-4.217827e+00
1.688089240167504e-03	-4.706753e+00
1.697854865167504e-03	-4.926142e+00
1.707483663004198e-03	-5.052458e+00
1.712350739778399e-03	-5.076333e+00
1.717190696054313e-03	-5.074525e+00
1.724670008747568e-03	-5.030078e+00
1.744201258747568e-03	-4.824427e+00
1.755606717979900e-03	-4.766920e+00
1.763961026419746e-03	-4.785232e+00
1.780045351533723e-03	-4.916821e+00
1.789810976533723e-03	-4.984783e+00
1.798957444418364e-03	-4.983459e+00
1.807492608740283e-03	-4.901241e+00
1.816995686061223e-03	-4.716156e+00
1.825714422413179e-03	-4.481773e+00
1.835480047413179e-03	-4.191739e+00
1.845245672413179e-03	-3.925818e+00
1.853416888146618e-03	-3.751484e+00
1.858777714208311e-03	-3.665762e+00
1.864081704716762e-03	-3.601401e+00
1.881926837562296e-03	-3.453940e+00
1.891692462562296e-03	-3.335284e+00
1.898662425867771e-03	-3.200135e+00
1.906364242870507e-03	-2.991271e+00
1.911109050020104e-03	-2.832385e+00
1.918461184675956e-03	-2.549478e+00
1.937992434675956e-03	-1.730696e+00
1.946060670826341e-03	-1.438201e+00
1.951242407087896e-03	-1.279266e+00
1.953748408372486e-03	-1.211035e+00
1.957799119147824e-03	-1.112163e+00
1.964185780058760e-03	-9.811279e-01
1.983282208225745e-03	-6.561965e-01
1.992690437712307e-03	-4.455423e-01
1.997483864028155e-03	-3.088533e-01
1.999334854682931e-03	-2.501765e-01
2.001558586928240e-03	-1.753391e-01
2.005162423457273e-03	-4.431776e-02
2.010896418706434e-03	1.863838e-01
2.019499752704618e-03	5.683880e-01
2.029265377704618e-03	1.013302e+00
2.039031002704618e-03	1.416502e+00
2.045086088980257e-03	1.626367e+00
2.049530414505356e-03	1.757079e+00
2.052782449454540e-03	1.840136e+00
2.057988128495015e-03	1.952581e+00
2.065943368482408e-03	2.085815e+00
2.075708993482408e-03	2.219738e+00
2.085474618482408e-03	2.372098e+00
2.092645819922527e-03	2.522076e+00
2.100347275104628e-03	2.730391e+00
2.104978488401117e-03	2.878543e+00
2.112177067989408e-03	3.134932e+00
2.121942692989408e-03	3.503597e+00
2.131708317989408e-03	3.845065e+00
2.139984731423908e-03	4.075490e+00
2.147665144752819e-03	4.224167e+00
2.151559277305072e-03	4.274882e+00
2.157719779991314e-03	4.324979e+00
2.176574007399838e-03	4.356281e+00
2.186287375625387e-03	4.391805e+00
2.195588390989470e-03	4.485863e+00
2.204704912668625e-03	4.639235e+00
2.222916120669354e-03	5.019758e+00
2.232681745669354e-03	5.169179e+00
2.241612907280413e-03	5.222764e+00
2.246723163639029e-03	5.212418e+00
2.251792772392068e-03	5.174191e+00
2.259573401304088e-03	5.071512e+00
2.279104651304088e-03	4.735585e+00
2.289770612586682e-03	4.614779e+00
2.298716945216070e-03	4.578359e+00
2.315457843987130e-03	4.609947e+00
