time	V(vquantised)
0.000000000000000e+000	1.320000e+002
2.330102856394661e-006	1.342819e+002
4.660205712789322e-006	1.364223e+002
6.990308569183984e-006	1.384210e+002
9.320411425578645e-006	1.402782e+002
1.165051428197331e-005	1.419937e+002
1.398061713836797e-005	1.435676e+002
1.631071999476262e-005	1.450000e+002
1.859643428047691e-005	1.462883e+002
2.088214856619120e-005	1.475162e+002
2.316786285190549e-005	1.486838e+002
2.545357713761977e-005	1.497909e+002
2.773929142333406e-005	1.508377e+002
3.002500570904835e-005	1.518240e+002
3.231071999476263e-005	1.527500e+002
3.488214856619119e-005	1.536468e+002
3.745357713761976e-005	1.546495e+002
4.002500570904832e-005	1.557579e+002
4.259643428047689e-005	1.569722e+002
4.516786285190546e-005	1.582923e+002
4.773929142333402e-005	1.597183e+002
5.031071999476258e-005	1.612500e+002
5.402500570904828e-005	1.637691e+002
5.773929142333399e-005	1.665319e+002
6.145357713761970e-005	1.695383e+002
6.516786285190540e-005	1.727883e+002
6.888214856619111e-005	1.762819e+002
7.259643428047681e-005	1.800191e+002
7.631071999476251e-005	1.840000e+002
7.959643428047679e-005	1.878375e+002
8.288214856619106e-005	1.914910e+002
8.616786285190534e-005	1.949607e+002
8.945357713761962e-005	1.982464e+002
9.273929142333389e-005	2.013482e+002
9.602500570904817e-005	2.042660e+002
9.931071999476244e-005	2.070000e+002
1.035964342804767e-004	2.098968e+002
1.078821485661910e-004	2.124351e+002
1.121678628519053e-004	2.146149e+002
1.164535771376196e-004	2.164364e+002
1.207392914233338e-004	2.178993e+002
1.250250057090481e-004	2.190039e+002
1.293107199947624e-004	2.197500e+002
1.340250057090481e-004	2.202235e+002
1.387392914233338e-004	2.210629e+002
1.434535771376195e-004	2.222684e+002
1.481678628519052e-004	2.238398e+002
1.528821485661909e-004	2.257772e+002
1.575964342804766e-004	2.280806e+002
1.623107199947623e-004	2.307500e+002
1.663107199947623e-004	2.336291e+002
1.703107199947623e-004	2.364532e+002
1.743107199947623e-004	2.392224e+002
1.783107199947622e-004	2.419367e+002
1.823107199947622e-004	2.445961e+002
1.863107199947622e-004	2.472005e+002
1.903107199947622e-004	2.497500e+002
1.954535771376193e-004	2.521009e+002
