time	V(vquantised)
0.000000000000000e+000	1.320000e+002
3.731071997699907e-007	1.322500e+002
4.031071997699908e-007	1.330000e+002
1.413107199769987e-006	1.332500e+002
1.443107199769987e-006	1.340000e+002
2.473107199769977e-006	1.342500e+002
2.503107199769976e-006	1.350000e+002
3.563107199769966e-006	1.352500e+002
3.593107199769966e-006	1.360000e+002
4.683107199769956e-006	1.362500e+002
4.713107199769956e-006	1.370000e+002
5.843107199769945e-006	1.372500e+002
5.873107199769945e-006	1.380000e+002
7.043107199769933e-006	1.382500e+002
7.073107199769933e-006	1.390000e+002
8.283107199769922e-006	1.392500e+002
8.313107199769921e-006	1.400000e+002
9.583107199769909e-006	1.402500e+002
9.613107199769909e-006	1.410000e+002
1.006310719976990e-005	1.410000e+002
1.093310719976990e-005	1.412500e+002
1.096310719976990e-005	1.420000e+002
1.234310719976988e-005	1.422500e+002
1.237310719976988e-005	1.430000e+002
1.383310719976987e-005	1.432500e+002
1.386310719976987e-005	1.440000e+002
1.541310719976988e-005	1.442500e+002
1.544310719976989e-005	1.450000e+002
1.707310719977015e-005	1.452500e+002
1.710310719977015e-005	1.460000e+002
1.884310719977043e-005	1.462500e+002
1.887310719977043e-005	1.470000e+002
2.030310719977066e-005	1.470000e+002
2.073310719977073e-005	1.472500e+002
2.076310719977074e-005	1.480000e+002
2.275310719977105e-005	1.482500e+002
2.278310719977106e-005	1.490000e+002
2.489310719977140e-005	1.492500e+002
2.491025005691426e-005	1.495793e+002
2.492739291405712e-005	1.498346e+002
2.494453577119998e-005	1.500158e+002
2.496167862834284e-005	1.501229e+002
2.497882148548570e-005	1.501560e+002
2.499596434262856e-005	1.501150e+002
2.501310719977142e-005	1.500000e+002
2.717310719977176e-005	1.502500e+002
2.719025005691462e-005	1.505793e+002
2.720739291405748e-005	1.508346e+002
2.722453577120034e-005	1.510158e+002
2.724167862834320e-005	1.511229e+002
2.725882148548606e-005	1.511560e+002
2.727596434262892e-005	1.511150e+002
2.729310719977178e-005	1.510000e+002
2.955310719977214e-005	1.512500e+002
2.957025005691500e-005	1.515793e+002
2.958739291405786e-005	1.518346e+002
2.960453577120072e-005	1.520158e+002
2.962167862834358e-005	1.521229e+002
2.963882148548644e-005	1.521560e+002
2.965596434262930e-005	1.521150e+002
2.967310719977216e-005	1.520000e+002
3.054310719977230e-005	1.520000e+002
3.200310719977253e-005	1.522500e+002
3.202025005691539e-005	1.525793e+002
3.203739291405825e-005	1.528346e+002
3.205453577120111e-005	1.530158e+002
3.207167862834397e-005	1.531229e+002
3.208882148548683e-005	1.531560e+002
3.210596434262969e-005	1.531150e+002
3.212310719977255e-005	1.530000e+002
3.446310719977292e-005	1.532500e+002
3.448025005691578e-005	1.535793e+002
3.449739291405864e-005	1.538346e+002
3.451453577120150e-005	1.540158e+002
3.453167862834436e-005	1.541229e+002
3.454882148548722e-005	1.541560e+002
3.456596434263008e-005	1.541150e+002
3.458310719977294e-005	1.540000e+002
3.689310719977331e-005	1.542500e+002
3.691025005691617e-005	1.545793e+002
3.692739291405903e-005	1.548346e+002
3.694453577120189e-005	1.550158e+002
3.696167862834475e-005	1.551229e+002
3.697882148548761e-005	1.551560e+002
3.699596434263047e-005	1.551150e+002
3.701310719977333e-005	1.550000e+002
3.923310719977368e-005	1.552500e+002
3.925025005691654e-005	1.555793e+002
3.926739291405940e-005	1.558346e+002
3.928453577120226e-005	1.560158e+002
3.930167862834512e-005	1.561229e+002
3.931882148548798e-005	1.561560e+002
3.933596434263084e-005	1.561150e+002
3.935310719977370e-005	1.560000e+002
4.078310719977393e-005	1.560000e+002
4.146310719977404e-005	1.562500e+002
4.148025005691690e-005	1.565793e+002
4.149739291405976e-005	1.568346e+002
