time	V(vquantised)
0.000000000000000e+000	1.320000e+002
3.765535998849955e-007	1.322500e+002
3.915535998849956e-007	1.330000e+002
1.411553599884987e-006	1.332500e+002
1.426553599884987e-006	1.340000e+002
2.471553599884977e-006	1.342500e+002
2.486553599884977e-006	1.350000e+002
3.561553599884966e-006	1.352500e+002
3.576553599884966e-006	1.360000e+002
4.686553599884956e-006	1.362500e+002
4.701553599884955e-006	1.370000e+002
5.031553599884952e-006	1.370000e+002
5.846553599884944e-006	1.372500e+002
5.861553599884944e-006	1.380000e+002
7.041553599884933e-006	1.382500e+002
7.056553599884933e-006	1.390000e+002
8.286553599885033e-006	1.392500e+002
8.301553599885035e-006	1.400000e+002
9.581553599885240e-006	1.402500e+002
9.596553599885242e-006	1.410000e+002
1.015155359988533e-005	1.410000e+002
1.093155359988546e-005	1.412500e+002
1.094655359988546e-005	1.420000e+002
1.235155359988568e-005	1.422500e+002
1.236655359988569e-005	1.430000e+002
1.384155359988592e-005	1.432500e+002
1.385655359988592e-005	1.440000e+002
1.527155359988615e-005	1.440000e+002
1.541155359988617e-005	1.442500e+002
1.542655359988617e-005	1.450000e+002
1.707655359988644e-005	1.452500e+002
1.709155359988644e-005	1.460000e+002
1.885155359988672e-005	1.462500e+002
1.886655359988672e-005	1.470000e+002
2.039155359988697e-005	1.470000e+002
2.073655359988702e-005	1.472500e+002
2.075155359988702e-005	1.480000e+002
2.275155359988734e-005	1.482500e+002
2.276655359988735e-005	1.490000e+002
2.490155359988769e-005	1.492500e+002
2.491012502845912e-005	1.495793e+002
2.491869645703055e-005	1.498346e+002
2.492726788560198e-005	1.500158e+002
2.493583931417341e-005	1.501229e+002
2.494441074274484e-005	1.501560e+002
2.495298217131627e-005	1.501150e+002
2.496155359988770e-005	1.500000e+002
2.551155359988778e-005	1.500000e+002
2.717155359988805e-005	1.502500e+002
2.718012502845948e-005	1.505793e+002
2.718869645703091e-005	1.508346e+002
2.719726788560234e-005	1.510158e+002
2.720583931417377e-005	1.511229e+002
2.721441074274520e-005	1.511560e+002
2.722298217131663e-005	1.511150e+002
2.723155359988806e-005	1.510000e+002
2.955155359988843e-005	1.512500e+002
2.956012502845986e-005	1.515793e+002
2.956869645703129e-005	1.518346e+002
2.957726788560272e-005	1.520158e+002
2.958583931417415e-005	1.521229e+002
2.959441074274558e-005	1.521560e+002
2.960298217131701e-005	1.521150e+002
2.961155359988844e-005	1.520000e+002
3.063155359988853e-005	1.520000e+002
3.200155359988782e-005	1.522500e+002
3.201012502845924e-005	1.525793e+002
3.201869645703066e-005	1.528346e+002
3.202726788560209e-005	1.530158e+002
3.203583931417352e-005	1.531229e+002
